City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
669,Edson,CA,53.5835,-116.4356,57.81,24,94,1.79,overcast clouds
670,West Plains,US,36.7281,-91.8524,74.23,77,75,5.75,broken clouds
671,Tolmin,SI,46.183,13.7332,69.49,72,60,4.76,broken clouds
672,Doha,QA,25.2867,51.5333,93.18,27,0,18.41,clear sky
673,Bani Walid,LY,31.7566,13.9942,67.46,39,0,9.95,clear sky
674,Reshetylivka,UA,49.565,34.0782,58.62,87,49,20.89,scattered clouds
675,Sidi Ali,DZ,36.0998,0.4206,78.73,41,20,9.01,few clouds
676,Luganville,VU,-15.5333,167.1667,78.57,85,14,1.14,few clouds
677,Kearney,US,40.6995,-99.0815,57.11,34,75,12.66,broken clouds
678,Antalaha,MG,-14.9003,50.2788,73.74,93,95,7.09,moderate rain
679,Gisborne,NZ,-38.6533,178.0042,56.28,65,7,8.3,clear sky
680,Batemans Bay,AU,-35.7167,150.1833,54.1,89,97,4.85,overcast clouds
681,Sanford,US,28.8006,-81.2731,95.18,70,20,10.36,few clouds
682,Lhokseumawe,ID,5.1801,97.1507,78.39,87,100,7.09,light rain
683,Abeche,TD,13.8292,20.8324,88.23,12,60,11.99,broken clouds
684,Kirakira,SB,-10.4544,161.9205,81.82,79,56,3.31,broken clouds
685,Luau,AO,-10.7073,22.2247,65.1,49,24,2.91,few clouds
686,Olinda,BR,-8.0089,-34.8553,82.13,74,40,12.66,scattered clouds
687,Siguiri,GN,11.6667,-9.5,88.11,41,99,3.0,overcast clouds
688,La Romana,DO,18.4273,-68.9728,88.16,55,40,9.22,scattered clouds
689,Saint Anthony,US,45.0205,-93.218,55.83,44,100,12.66,overcast clouds
690,Arrecife,ES,28.963,-13.5477,69.78,68,20,18.41,few clouds
691,Afua,BR,-0.1567,-50.3867,76.3,92,100,4.27,light rain
692,Kieta,PG,-6.2167,155.6333,80.01,82,18,0.81,few clouds
693,Grenfell,AU,-33.9,148.1667,47.32,91,100,8.59,overcast clouds
